qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000399,64,3,4884474642137924628,-14336000,-14258000,-14625068,0,0,0,1,2.693,
1000400,64,3,1250355760292694314,-14156000,-14092000,-14625068,0,0,0,1,2.459,
1000401,64,3,12647954187284764787,-14380000,-14312000,-14625068,0,0,0,1,2.395,
1000402,64,3,5194415504272227520,-14346000,-14240000,-14625068,0,0,0,1,2.366,
1000403,64,3,14027079770026050435,-14358000,-14294000,-14625068,0,0,0,1,2.315,
1000404,64,3,1164666320390409715,-14376000,-14292000,-14625068,0,0,0,1,2.306,
1000405,64,3,2212153730321426140,-14236000,-14174000,-14625068,0,0,0,1,2.363,
1000406,64,3,16274482767912522611,-14220000,-14164000,-14625068,0,0,0,1,2.399,
1000407,64,3,15910530115606209683,-14254000,-14192000,-14625068,0,0,0,1,2.12,
1000408,64,3,2846738646333678180,-14298000,-14240000,-14625068,0,0,0,1,2.302,
1000409,64,3,2389372701840026588,-14170000,-14104000,-14625068,0,0,0,1,2.41,
1000410,64,3,3544623819659479125,-14314000,-14248000,-14625068,0,0,0,1,2.448,
1000411,64,3,8639988995514361776,-14324000,-14236000,-14625068,0,0,0,1,2.448,
