nonce,seed,best_256x65536,median_256x65536,below_256x65536
152,07886c82afd9ed91d7b0e4b62437ee1976ac5388c415c3b7aed67acd8ab35f33,-14368000,-14334000,0
153,173df7193f203e57ad76f310d54b10f3009bdadeadedaf8336eecdbc99a352bb,-14438000,-14394000,0
154,76e4f343178f81d53ede7f51a07be4a6026ee969b63a1a8b5e7c1daa26cb1c11,-14390000,-14348000,0
155,36f5742f182b116b5c91097ec873b8db7e5546f48543882954463ca8df455538,-14432000,-14390000,0
156,e88d8ae84ebfa410f3e2a3c310f47577f6796e85b8ee1ccf8518ce5161a8bc81,-14364000,-14330000,0
157,72d927a91fee630b408a2d30561257c05441cfa435a3affdd60ad0017baddc02,-14446000,-14412000,0
158,db1dbd0c7d77358620711898f79705eec209946c1d6c38785111d5d0e2524919,-14370000,-14336000,0
159,1e1f9f966d800377a026d644f73db65aed22d81ec372bc15e88960395b8ca728,-14464000,-14432000,0
160,1e775c49ecef371370c8d0d86b62030be0759dc9f9c1066d0b37f99de56c24a2,-14364000,-14316000,0
161,2cfb1be5d6b9f00dda87fe7e2a1381f955ccf3ddff1ecbf28d9e2b1ae8822009,-14360000,-14318000,0
162,e3517937defd15b480bb7f08b89937c5f7a41fd965b861057e46262df49a8880,-14392000,-14348000,0
163,e55676d85db481f408a39ff2527215f54e5e6fb8bf9b5b7f72d3e591685ae264,-14464000,-14424000,0
164,2d774f6fee1a8fca8382af8bfa6fd2cc461d845fe2aecb49fc846cf0f139dea9,-14450000,-14410000,0
165,c73cd4400c5e26bf7e453e603ecc7b4774a62897b84ff2ce38ea91ec2426c529,-14416000,-14384000,0
166,8fa41b921e42e58d06504bfdf367179f2607292ca08edae7a85c84ff9b1b049b,-14480000,-14446000,0
167,2d2ed237a57eb0cb31a1918e088833e633eea4d36ce3ce6f2f4ba0e816c210cd,-14382000,-14340000,0
168,066dffb402c70ca15c125547648fe3a878af24a628e8beeb2638e09b4d5cfd20,-14458000,-14420000,0
169,e51d5faf42b0d5a19e7a46eb966236abeb918bfb3ac6a98a089cb5263279f83b,-14322000,-14282000,0
170,c2b981cff01c4f0a318a2aed9b5517a66573de2746e2e08cc3b6e7ff3352687c,-14340000,-14306000,0
171,9d91946defc37721fe7fa4bbb1b2baac810831afa8208442d06a9dc65e3154e9,-14428000,-14382000,0
172,bdf04f725ed725331ce07863a4c39682dc963dc45f58fe4cf1dae9738ec7c911,-14468000,-14438000,0
173,519bf9797e945e72279c48f0fa697f52dfe4b5cd8bbf06d1d65860ba293e9855,-14430000,-14392000,0
174,c1ed56c0e95e2d265a1061fb8431b680fa842c0104b2610173a3769464d5c4d7,-14384000,-14348000,0
175,c930941cbbf0bac7e80a68dc7f5b8108fd6075f9ad0ccfd87c15387964a1e034,-14476000,-14434000,0
176,e3fb464566ba7600d4eea6da3608c2da099660ef21dc7a2f65f5908cbbd00b4c,-14388000,-14352000,0
177,1e2c55a4f7b09b2fc64159785fb9ddc4c5424b7d7a4be00600c53939a97c253a,-14342000,-14296000,0
178,f6a565a0555402933dd388007cbc083bdbad6c9ba0b3f54840624a50188a65b8,-14416000,-14366000,0
179,3df89dd7c0e8700c8d6c51d7413fe456144d1d37ca47efeb8eb29ea82eb64759,-14466000,-14424000,0
180,269ba2dc536da52d90d7f9af5909db903fc05f589c6cac497f90e6af698606f5,-14490000,-14440000,0
181,37a95f2df1403205a5bb831a03e6963692f5082000be31bbf9c035bdfa20023f,-14428000,-14386000,0
182,54d0a4fedf72490af40c8f6bdf4c7874edafdf88e6c8c3b0f24b3c107ea8d187,-14384000,-14336000,0
183,6325c7d441e2fc22e993d9a57fb518dd8efa97eb5012ae94fbb6193de36631d8,-14450000,-14412000,0
184,5e3f766ca4954583a0c48a778f07a7c529f912212de245ac9bb6fd0d1487269d,-14366000,-14318000,0
185,0118671180b0632971f66147ce025ef4dd89e62e0fbf03bf8e933e7f232ebff5,-14486000,-14448000,0
186,70f35171eac30cb4968c8dd698f19ef10f72cf113d5bcd4e2b8f27e815408cbd,-14424000,-14386000,0
187,6479f2b9e235c57f96441fc67f0ef9f89f9fee69f03626ee6045a9ab6889ddbf,-14452000,-14410000,0
188,a3d5a565ca9198f6c8963f0f9bdbe0d8e55bd7b3329504f812ac3e90fb16ea67,-14358000,-14318000,0
189,7dc109031d247fabbf2d2e98d4fb8ab524fe6a03457624fbd822a749aa170f6a,-14430000,-14390000,0
190,ac516eac4fb992210f66892e75ffe10203174a6489d057b5ed233d61363c28ac,-14400000,-14360000,0
191,e942226d9f6b00e72c9c6d6b5cc7c92914cc712316784b0c8caadebf8dfa8e3d,-14404000,-14346000,0
192,08c5f0eb5f26efe28266b37df9f30723cfe0df4e74332d87ce8c3ff49de6b45a,-14400000,-14358000,0
193,4b58a3f5cc25e9203b6ce1b720c5443023c014a3de54478d6381a04170bf6914,-14396000,-14350000,0
194,af52c9c3c3ebebadca8bdb8b028c09b85d8eed156cdc1c1501626cc3b0725477,-14392000,-14356000,0
195,270e18ceb9a127aefb57b595cccd302894a31c8caddb63aad3fff8bb47ce405d,-14444000,-14404000,0
196,ed796fed350c3c495e7ceaca57a0dd40267f276e6ed74f1a583870a41ff75c5c,-14484000,-14442000,0
197,a6f627035f3b20becbd09e2b9c582221aabf30519de24d165574e2d8ba141e43,-14472000,-14432000,0
198,569e8056c776dfbeeaca14feae44f976ff19798c543d65da0c7400f0b203301a,-14418000,-14378000,0
199,4c41d713e5ab01bfce3c95bd9e7b706c37e55688052f2d353de5238080918a9b,-14522000,-14484000,0
200,187738d205826da2f6c18edaf7d06dd6f5615f8d9b5049f776024f05349604f6,-14444000,-14380000,0
201,03ce9e42f507a1ad5f13d6f029bcb6adb988aa45864ca9b0e8d344d512127d76,-14428000,-14380000,0
202,d8a9ae0c19caf8048b8230c5161c37254e2157f6afc64b998c1c42e1a1b476e8,-14386000,-14348000,0
203,14d12e230236e90eb64992a57f4d7f69a5c037f645f6adb06426f7446c925d0a,-14348000,-14308000,0
204,e851f279806e16274bcf3ed12c72e9311500ec1e578c257c557d7971f3269fae,-14446000,-14408000,0
205,dd3a6871fce30f4de8fd0f2fb52407aa139835497150a00ae397057a228ee54b,-14502000,-14468000,0
206,1b6f9d2c5a15c29c05f376f491a605dba37f04ebab1f56019cff010d7dc03b8b,-14416000,-14378000,0
